"Polarized Data for B=1.5T, filter rotated 0, 30, 60, 90 from noon to 3 on a clockface"
Wavelength(A)_MDPX,"Signal Strength, theta=0","Signal Strength, theta=30","Signal Strength, theta=60","Signal Strength, theta=90"
4456.53416,-0.01033986745012115,-0.0037567206382281278,-0.0009691867256884793,-0.011820318978554473
4456.556396594473,-0.016166184641239367,-0.0461836030916132,-0.036594421356843036,-0.034047590729692684
4456.578633188947,-0.01596085187679467,-0.016410352247132446,0.003650800474317155,-0.020367295298564896
4456.60086978342,-0.009492869796786783,-0.010147702931569256,-0.017318808094597307,-0.006045334978547433
4456.623106377894,-0.008517539165674482,-0.021261338807138364,0.0026754698432048542,-0.011563653022998607
4456.645342972368,0.002621763305450213,-0.0020370587360038083,-0.0048448426545820945,-0.006686999867437104
4456.667579566841,-0.01426685657012594,-0.02521399452269874,-0.01336615237903693,-0.027887607796351844
4456.689816161314,-0.03297780473014875,-0.02218533624713949,-0.01613814469904031,-0.021085959974121327
4456.712052755787,-0.01539618677457176,-0.0124063633404609,8.314369209058185e-05,-0.007354331351882362
4456.734289350262,-0.005899546419004624,0.006201918437339572,0.00770612257209988,0.006864962585912756
4456.756525944735,-0.026894821583474674,-0.03668696273604607,-0.030357438636835436,-0.028606272471908282
4456.778762539208,-0.0010228932634431206,-0.009968036762680148,-0.004870509250137682,0.0034513053770197045
4456.800999133682,-0.02825515114792078,-0.011713365260460051,-0.01531681364126153,-0.011999985147443585
4456.823235728155,-0.0017928911301107265,-0.013099361420461742,-0.020116467010156278,-0.015567641929670153
4456.845472322629,-0.01303485998345777,-0.038098625491603345,-0.0397770792057358,-0.03212259606302368
4456.867708917102,-0.011392197867900212,-0.0036283876604501935,-0.004896175845693268,0.004426636008132005
4456.889945511576,-0.0013822256012213368,-0.010122036336013667,-0.002483515863468104,-0.003786674569655789
4456.912182106049,-0.019939174187910635,-0.02808865322492447,-0.027816445676832335,-0.0029653435118770096
4456.934418700523,0.00395642627434073,-0.00455238510045132,-0.014392816201260403,-0.0023236786229873384
4456.956655294996,0.012349403021017632,0.021961208108469903,0.0010584743232028824,0.020468258230373793
4456.97889188947,-0.005180881743448191,-0.005604715518230381,0.010298448723214148,0.002629974319240925
4457.001128483943,-0.018553178027908943,-0.01759101564268944,-0.028740443116833464,-0.020341628703009308
4457.023365078417,-0.011186865103455516,-0.01230369695823855,-0.012005822814590828,-0.017441303405228
4457.04560167289,0.002673096496561387,-0.016590018416021556,-0.008746165179031297,-0.013000982374111469
4457.067838267363,-0.032875138347926415,-0.026753990256033953,-0.0347207598812852,-0.033020926907469224
4457.090074861837,0.007755082416567584,0.02116554364624671,0.016535431443221754,0.002937973465907969
4457.112311456311,-0.015498853156794107,-0.0053737161582301,-0.03567042391684191,-0.0019130130940979485
4457.134548050784,-0.00225488985011129,0.009615575646232624,-0.020963464663490645,-0.003222009467432878
