wavelength,signals
464.0996358086848,-0.008036622640599633
464.10083549129615,0.014925398241836462
464.10203517390767,0.029518018224827802
464.1032348565189,0.03376366523611656
464.10443453913035,0.002587984166606254
464.1056342217416,0.0017072563738904998
464.1068339043528,0.010615261992435395
464.1080335869639,0.008400150437356365
464.10923326957504,0.030178453404401142
464.11043295218604,0.010552921085098725
464.11163263479705,0.006442662083098628
464.11283231740794,0.03386411771618792
464.1140320000188,-0.00025884008390005843
464.1152316826296,0.019839884474299775
464.11643136524043,0.00837910266854508
464.1176310478511,-0.00845762512030912
464.11883073046164,0.03935593209188408
464.12003041307236,0.014912927458857965
464.1212300956829,0.010548409614956305
464.12242977829334,-0.0020796119525001975
464.1236294609037,0.006062756115930546
464.12482914351415,-0.010283752570651167
464.1260288261244,0.007534612808938912
464.1272285087346,0.008152340767218165
464.12842819134477,0.012131147521172418
464.12962787395486,0.021124691738871652
464.1308275565649,0.01789720570174143
464.13202723917504,0.014306589077083336
464.13322692178497,0.007901417107761393
464.13442660439483,0.016274010426394047
464.13562628700475,0.020155455767081738
464.13682596961445,0.015125934083486824
464.1380256522242,0.006291115659021251
464.1392253348338,0.01148025056837152
464.1404250174434,0.004317316970635991
464.14162470005306,0.03083668083356363
464.14282438266264,0.031716898721445716
464.14402406527205,0.01736235384119933
464.1452237478814,0.023841386722573663
464.1464234304908,0.041109120303206216
464.1476231131001,0.06327235987289051
464.14882279570924,0.04071568433143469
464.1500224783185,0.05453591403202116
464.1512221609276,0.07227779176067647
464.15242184353656,0.10900119978530927
464.15362152614557,0.11512991772130507
464.15482120875447,0.1314454067888559
464.1560208913634,0.12195136465432246
464.1572205739722,0.11439915974980236
464.158420256581,0.11393580317565023
464.1596199391898,0.09714866970654987
464.16081962179834,0.07008986761791457
464.162019304407,0.062365420714220486
464.16321898701545,0.05967438974881186
464.16441866962396,0.0326893466893863
464.16561835223234,0.04111141074449768
464.1668180348408,0.023301914698236566
464.1680177174491,0.04417454539245875
464.16921740005745,0.047359104959890305
464.1704170826655,0.033937645432435624
464.17161676527377,0.0440465978871494
464.1728164478818,0.056919921140357224
464.1740161304898,0.03727937873906309
464.17521581309774,0.027411835242613997
464.1764154957057,0.042435084228307905
464.1776151783136,0.06940621818338309
464.1788148609213,0.05940674555698791
464.1800145435292,0.05975530618453705
464.1812142261368,0.06658662844193847
464.1824139087444,0.07381503528168189
464.18361359135207,0.10282484247653438
464.18481327395955,0.07068532007329227
464.186012956567,0.08770739033962774
464.1872126391745,0.07441031273634534
464.1884123217818,0.10359813730823095
464.1896120043891,0.10676056507566249
464.19081168699637,0.0925296539967603
464.19201136960356,0.11750455892701149
464.1932110522107,0.1103630799805506
464.1944107348177,0.08625096206578103
464.1956104174248,0.08942121046098775
464.19681010003166,0.10172634402953722
464.1980097826387,0.07880244784444836
464.1992094652455,0.075391112545957
464.20040914785227,0.0558477789851659
464.20160883045895,0.041052890301013244
464.2028085130656,0.026064451591394564
464.2040081956723,0.03523619693743375
464.20520787827894,0.02980793257421806
464.2064075608854,0.02312209950632866
464.2076072434917,0.05535838635775828
464.20880692609825,0.03808571248758694
464.2100066087046,0.04348916455266809
464.2112062913109,0.037897985034711285
464.2124059739171,0.01716195328435151
464.21360565652316,0.048574912770448134
464.2148053391293,0.04091242353786773
464.2160050217354,0.015828233670735197
464.21720470434144,0.030415698837788715
464.2184043869474,0.02040879862582485
464.2196040695532,0.0377998039541189
464.2208037521591,0.010457467551244838
464.2220034347648,0.02026348867594881
464.22320311737053,0.041555081992712545
464.22440279997625,0.017092774725397993
464.22560248258173,-0.0034193126636630905
464.22680216518734,0.024582932689318833
464.22800184779277,0.020881210758003903
464.22920153039826,0.020425579517911654
464.2304012130036,0.001046887664124417
464.23160089560895,0.02119762061954556
464.23280057821427,0.0125363249768711
464.23400026081947,0.012886560939934615
464.2351999434245,0.025908725214539973
464.23639962602965,0.0153870919508082
464.2375993086347,0.031463368809973156
464.23879899123966,0.02104339194951147
464.2399986738446,0.005565886045958592
464.2411983564494,0.003430511432870562
464.24239803905425,0.018631627885077186
464.243597721659,-0.002014445437527319
464.24479740426375,0.0036898475013519886
464.2459970868683,0.004728817955127489
464.2471967694729,0.0003049499651944092
